,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
37,"""300434""",金石亚药,13.55,9.01,1.12,513234,676201081.47,11.5,13.66,12.23,12.35,12.43,3.9,15.46,38.15,2.52
38,"""002317""",众生药业,25.03,8.78,2.02,1204379,2898221060.47,12.95,25.29,22.31,22.68,23.01,3.34,17.03,61.47,5.61
39,"""603040""",新坐标,23.85,8.56,1.88,109447,259217373.0,9.88,24.17,22.0,22.16,21.97,2.78,8.17,21.54,3.05
40,"""301180""",万祥科技,22.12,8.38,1.71,107379,231149732.09,10.29,22.35,20.25,20.3,20.41,2.56,19.74,39.03,6.83
41,"""688247""",宣泰医药,18.03,8.35,1.39,195565,342536056.0,13.22,18.56,16.36,16.75,16.64,4.7,47.8,91.36,7.11
42,"""300955""",嘉亨家化,29.7,8.16,2.24,38345,114319051.31,13.95,31.3,27.47,27.52,27.46,3.71,8.55,46.49,3.1
43,"""300722""",新余国科,33.26,8.13,2.5,117172,377716478.11,11.83,33.77,30.13,30.4,30.76,1.78,6.1,88.42,12.14
44,"""605266""",健之佳,92.36,8.1,6.92,40351,361681951.0,15.8,93.5,80.0,83.9,85.44,2.75,6.9,35.64,3.82
45,"""300158""",振东制药,8.22,7.73,0.59,1586526,1259982001.05,12.32,8.4,7.46,7.66,7.63,2.36,15.49,256.0,1.58
46,"""300723""",一品红,47.5,7.47,3.3,42118,198536009.65,9.3,48.0,43.89,44.33,44.2,2.35,3.19,38.64,7.03
47,"""300577""",开润股份,17.0,7.39,1.17,35358,58928845.82,7.64,17.05,15.84,15.85,15.83,3.92,2.74,43.79,2.37
